a	a ˧
ad	a ˧
adn	a n ˧
ai	a j ˧
ak	a ˧
album	a u m ˧
am	a m ˧
an	a n ˧
ang	a ŋ̚ ˧
anh	a ɲ̚ ˧
ao	a w ˧
asean	a ɛ a n ˧
au	a w ˧
b	spn
ba	b a ˧
bai	b a j ˧
ban	b a n ˧
bang	b a ŋ̚ ˧
banh	b a ɲ̚ ˧
bao	b a w ˧
bar	b a ˧
bay	b a j ˧
be	b ɛ ˧
ben	b ɛ n ˧
beo	b ɛ w ˧
bi	b i ˧
bia	b i a ˧
bin	b i n ˧
binh	b i ɲ̚ ˧
biên	b i e n ˧
biếm	b i e m ˧˥
biến	b i e n ˧˥
biếng	b i e ŋ̚ ˧˥
biết	b i e t̚ ˧˥
biếu	b i e w ˧˥
biền	b i e n ˨˩
biển	b i e n ˧˩˧
biểu	b i e w ˧˩˧
biện	b i e n ˨˩ʔ
biệt	b i e t̚ ˨˩ʔ
bo	b ɔ ˧
bom	b ɔ m ˧
bon	b ɔ n ˧
bong	b ɔ ŋ̚ ˧
bu	b u ˧
bun	b u n ˧
bung	b u ŋ̚ ˧
buôn	b u o n ˧
buông	b u o ŋ̚ ˧
buýt	b u i t̚ ˧˥
buốt	b u o t̚ ˧˥
buồm	b u o m ˨˩
buồn	b u o n ˨˩
buồng	b u o ŋ̚ ˨˩
buổi	b u o j ˧˩˧
buộc	b u o k̚ ˨˩ʔ
bà	b a ˨˩
bài	b a j ˨˩
bàn	b a n ˨˩
bàng	b a ŋ̚ ˨˩
bành	b a ɲ̚ ˨˩
bào	b a w ˨˩
bày	b a j ˨˩
bá	b a ˧˥
bác	b a k̚ ˧˥
bách	b a k̚ ˧˥
bái	b a j ˧˥
bám	b a m ˧˥
bán	b a n ˧˥
bánh	b a ɲ̚ ˧˥
báo	b a w ˧˥
bát	b a t̚ ˧˥
báu	b a w ˧˥
bân	b ə n ˧
bâng	b ə ŋ̚ ˧
bâu	b ə w ˧
bây	b ə j ˧
bã	b a ˧˥ʔ
bãi	b a j ˧˥ʔ
bão	b a w ˧˥ʔ
bè	b ɛ ˨˩
bèn	b ɛ n ˨˩
bèo	b ɛ w ˨˩
bé	b ɛ ˧˥
bén	b ɛ n ˧˥
béng	b ɛ ŋ̚ ˧˥
béo	b ɛ w ˧˥
bét	b ɛ t̚ ˧˥
bê	b e ˧
bên	b e n ˧
bênh	b e ɲ̚ ˧
bêu	b e w ˧
bì	b i ˨˩
bìa	b i a ˨˩
bìm	b i m ˨˩
bình	b i ɲ̚ ˨˩
